sentence,label
Claims she suffered catalogue of abuse at hands of Italian former partner,0
Six crew and 158 passengers evacuated from American Airlines flight,0
"ISABELLA:O just but severe law!I had a brother, then",1
"Prosecutors say the two claimed $340,000 intended for victims of the Gulf spill",0
Moyes was sacked by Premier League club in April after a mediocre season,0
She says going shopping is ‘like being Julia Roberts in Pretty Woman'China is the number one international market to visit Westfield London,0
House expected to debate bill Wednesday and vote on it Thursday,0
"CATESBY:My lord!KING RICHARD III:Good news or bad, that thou comest in so bluntly?CATESBY:Bad news, my lord: Ely is fled to Richmond;And Buckingham, back'd with the hardy Welshmen,Is in the field, and still his power increaseth",1
"KING LEWIS XI:Now, sister, let us hear your firm resolve",1
More than 200 people to attend dinner in honor of Mexican president,0
"We have very oft awaked him, as ifto carry him to execution, and showed him a seemingwarrant for it: it hath not moved him at all",1
"And let the soul forth that adoreth thee,I lay it naked to the deadly stroke,And humbly beg the death upon my knee",1
"Second Watchman:Ay, wherefore else guard we his royal tent,But to defend his person from night-foes?WARWICK:This is his tent; and see where stand his guard",1
Romney's coalition bore a striking resemblance to John McCain's four years ago,0
QUEEN ELIZABETH:You have no cause,1
Katz: Russia thinks U,0
Striker injured during Wigan Athletic's 1-0 loss to Sheffield Wednesday,0
"Upon his mere request,Being come to knowledge that there was complaintIntended 'gainst Lord Angelo, came I hither,To speak, as from his mouth, what he doth knowIs true and false; and what he with his oathAnd all probation will make up full clear,Whensoever he's convented",1
"Bill Gates, Univision TV owner also gave millions",0
China's Huawei has ended attempts to gain access to U,0
"Now is the sun upon the highmost hillOf this day's journey, and from nine till twelveIs three long hours, yet she is not come",1
"Clown:Comfort, good comfort! We must to the king and showour strange sights: he must know 'tis none of yourdaughter nor my sister; we are gone else",1
NEW: Toyota will not issue recall on 2010 Prius models over braking issue,0
"Second Keeper:But, if thou be a king, where is thy crown?KING HENRY VI:My crown is in my heart, not on my head;Not decked with diamonds and Indian stones,Nor to be seen: my crown is called content:A crown it is that seldom kings enjoy",1
"A blood test can detect if a woman is ""highly susceptible"" to breast or ovarian cancer",0
"Mark Plotkin: In the debate over huge health care costs, we should look south",0
Three were in the U,0
"This deed unshapes me quite, makes me unpregnantAnd dull to all proceedings",1
"Kevin De Bruyne and Romelu Lukaku were signed, loaned out and sold",0
GRUMIO:Ay; and that thou and the proudest of you all shallfind when he comes home,1
"Direct not him whose way himself will choose:'Tis breath thou lack'st, and that breath wilt thou lose",1
One man's attempt to blow up an automatic teller machine backfires,0
"KATHARINA:Would Katharina had never seen him though!BAPTISTA:Go, girl; I cannot blame thee now to weep;For such an injury would vex a very saint,Much more a shrew of thy impatient humour",1
"KING RICHARD II:Doubly divorced! Bad men, you violateA twofold marriage, 'twixt my crown and me,And then betwixt me and my married wife",1
"CAMILLO:Business, my lord! I think most understandBohemia stays here longer",1
Coaches believed Smith was 'innocent until proven guilty'Smith maintains his innocence but thought the scrutiny was too much of a distraction for the team,0
The SaddleBaby allows parents to carry children hands-free so they can take photographs or walk the dog,0
"Come, take your flowers:Methinks I play as I have seen them doIn Whitsun pastorals: sure this robe of mineDoes change my disposition",1
LUCIO:ISABELLA:Heaven keep your honour safe!ANGELO:ISABELLA:At what hour to-morrowShall I attend your lordship?ANGELO:At any time 'fore noon,1
Con artist was engaged to both women at the same time - and they only found out when they came to court to give evidence,0
"Your voices: for your voices I have fought;Watch'd for your voices; for Your voices bearOf wounds two dozen odd; battles thrice sixI have seen and heard of; for your voices haveDone many things, some less, some more your voices:Indeed I would be consul",1
As many as one in three children born to mothers taking Epilim affected,0
Died after gunmen walked up to front door and opened fire,0
The win gives the Cardinals 11 World Series championships,0
"Kohn: Milestones, Haymarket Square and Pullman Car Co",0
"How now, fair maid?ISABELLA:I am come to know your pleasure",1
A landfill near Terre Haute holds waste from near intersection where she was last seen,0
password before the feature can be disabled,0
should use force in foreign entanglements,0
A review into the use of cautions is being carried out by Ministry of Justice,0
"BAPTISTA:KATHARINA:No shame but mine: I must, forsooth, be forcedTo give my hand opposed against my heartUnto a mad-brain rudesby full of spleen;Who woo'd in haste and means to wed at leisure",1
The initial figure was over 40 times the sum of what Koch had initially paid,0
